Source_X,Source_Y,Source_Z,Absorb_X,Absorb_Y,Absorb_Z,Scatter_X,Scatter_Y,Scatter_Z,Theta,Energy
14.09,13.51,200,21.78,19.654118970470265,-100.97531070345951,21.78,9.85,0.0,0.19825432187370332,921353.8075392289
14.09,13.51,200,38.21,24.290039979866762,-109.20248479472052,38.21,34.29,0.0,3.1387649374299467,999659.4826227843
14.09,13.51,200,15.57,19.611757434915493,-100.87776825462383,15.57,18.31,0.0,1.4402500974153027,998385.1161160878
14.09,13.51,200,16.67,26.460718697947303,-99.0306620966312,16.67,19.82,0.0,0.8445445597409105,995318.1144326447
14.09,13.51,200,24.62,22.733007709077434,-108.49761641029932,24.62,12.84,0.0,0.14641285894317868,864671.5453934288
28.92,12.8,200,14.23,15.829367504659993,-109.69470315361053,14.23,15.04,0.0,1.4917773696614,998494.5775919934
28.92,12.8,200,28.05,36.32046806799637,-109.93662277951519,28.05,26.81,0.0,0.3141906844274221,967130.3080646408
28.92,12.8,200,3.21,36.05966700008967,-109.81794506154101,3.21,26.08,0.0,0.06378070893876668,548023.0161979424
28.92,12.8,200,9.49,30.83711041451751,-105.58058478566151,9.49,22.79,0.0,0.6356077545966748,991763.732130404
28.92,12.8,200,12.93,18.616235833320168,-107.74365268868571,12.93,11.91,0.0,0.8357472205769427,995219.5051119444
10.45,8.76,200,24.53,13.080459544672031,-101.06968643104867,24.53,21.6,0.0,2.590502193104095,999500.2128265833
10.45,8.76,200,19.36,15.431276279162244,-104.44963659125534,19.36,6.53,0.0,0.47317117074769766,985236.0565246593
10.45,8.76,200,33.34,17.55286904336001,-106.82257648011942,33.34,7.62,0.0,0.11593636255371874,800251.5228091239
10.45,8.76,200,6.8,9.434557124784499,-104.96857811712957,6.8,11.63,0.0,1.7921436639740156,998956.4038648753
10.45,8.76,200,5.97,25.373394085978397,-90.00745594715794,5.97,15.5,0.0,0.15929467700470298,883221.3449246883
21.75,14.43,200,24.09,5.210000493578928,-109.99930258572127,24.09,15.21,0.0,3.141278462905366,999660.0270201797
21.75,14.43,200,36.48,43.3138491537529,-92.8113472938573,36.48,33.48,0.0,0.18254478765233223,908526.5081568339
21.75,14.43,200,1.29,2.757048107794507,-90.0322952319613,1.29,2.9,0.0,1.5850920029363444,998666.3700640857
21.75,14.43,200,24.07,41.6993168830191,-102.53633983799006,24.07,37.18,0.0,1.1018667302869691,997244.166913903
21.75,14.43,200,17.21,13.965326028810242,-93.11961301395283,17.21,7.57,0.0,0.876906200236935,995655.8221778221
21.14,16.88,200,32.22,30.70039798929579,-93.37919466122469,32.22,21.9,0.0,0.4948503279731898,986484.2149673195
21.14,16.88,200,31.57,42.78465975310071,-104.76991935983257,31.57,33.75,0.0,0.4430088650426651,983192.1603076492
21.14,16.88,200,15.86,12.378095444292006,-98.93584533512018,15.86,3.92,0.0,0.562715515809513,989515.5776695034
21.14,16.88,200,6.74,16.533772465751824,-105.0396505225966,6.74,8.34,0.0,0.6104724998424811,991077.7215430632
21.14,16.88,200,20.81,2.6410575022901117,-103.68699505361455,20.81,3.28,0.0,1.634734131075877,998746.0320729292
35.21,19.49,200,10.03,35.81768082576771,-103.90761720759305,10.03,25.83,0.0,0.049642128139532685,423472.168120404
35.21,19.49,200,7.25,43.6127559500072,-97.3129365542289,7.25,35.76,0.0,0.6676552044082719,992529.6647319644
35.21,19.49,200,16.23,25.459607205813864,-109.90549092814514,16.23,17.02,0.0,0.5661716133382145,989641.86488973
35.21,19.49,200,2.46,19.77999950642107,-90.06119835125834,2.46,9.78,0.0,0.00031419068442742207,29.42243435990531
35.21,19.49,200,17.01,24.46380918476609,-92.19328665920507,17.01,14.47,0.0,0.03518935665587127,269585.19914607063
13.68,2.31,200,17.9,30.529866764718847,-95.7374327552517,17.9,20.55,0.0,0.06346651825433926,545575.5120940034
13.68,2.31,200,2.5,39.905103224283515,-102.7493408607206,2.5,33.01,0.0,0.8099835844538941,994912.1337470416
13.68,2.31,200,0.82,25.47942891544604,-102.9909929894418,0.82,15.73,0.0,0.22433214868117937,937499.3331965922
13.68,2.31,200,19.71,30.528031197595354,-90.45624228334961,19.71,25.32,0.0,1.0230048684956863,996804.327892619
13.68,2.31,200,28.63,35.194800635180286,-109.95663324599505,28.63,36.1,0.0,1.661440339252208,998785.9697056446
6.27,19.41,200,22.06,16.992297400366027,-90.00107695452047,22.06,26.78,0.0,2.935169373920977,999610.6361075394
6.27,19.41,200,20.07,28.11087131189825,-106.19548236038415,20.07,26.99,0.0,1.4584731571120932,998425.1534469111
6.27,19.41,200,2.63,32.92691745710981,-90.89256288578119,2.63,27.62,0.0,1.0113798131718716,996730.6854734954
6.27,19.41,200,15.22,-3.4018670678844245,-97.94241747946512,15.22,4.57,0.0,2.4934172716160217,999460.5633647098
6.27,19.41,200,9.09,13.082257370610987,-104.60700502864883,9.09,11.51,0.0,1.412915507870117,998322.1370399038
39.15,1.19,200,1.92,40.62189457497455,-90.79335973868452,1.92,30.75,0.0,0.16023724905798525,884432.8630508338
39.15,1.19,200,13.01,20.816319254090537,-93.61064650786098,13.01,10.91,0.0,0.13698713841035604,848329.4314512508
39.15,1.19,200,21.3,-2.7555503459305477,-106.6498279133326,21.3,6.16,0.0,2.6715633896863697,999530.0628912202
39.15,1.19,200,34.12,8.862889585482487,-100.80071085956276,34.12,16.91,0.0,2.5059848989931184,999465.9566620769
39.15,1.19,200,10.17,31.64913638146605,-96.4646375427087,10.17,23.24,0.0,0.5718270456579082,989843.66566067
30.68,29.32,200,15.84,22.951407416380903,-105.92223798707452,15.84,13.02,0.0,0.11719312529142843,803676.1289448197
30.68,29.32,200,16.15,17.289992102738143,-95.95707340666877,16.15,7.29,0.0,0.0012567627377096883,470.5501929970924
30.68,29.32,200,5.1,6.1585507499405985,-92.95995154553097,5.1,7.32,0.0,1.6872039753752566,998822.7172649145
30.68,29.32,200,17.99,18.297520599557828,-103.01795370404628,17.99,16.05,0.0,1.3441077479805117,998146.2886673177
30.68,29.32,200,30.72,10.927058945584074,-93.65601399639738,30.72,1.17,0.0,0.22087605115247771,935654.9476938681
0.31,11.98,200,26.86,14.586858829606804,-97.75377330406214,26.86,4.71,0.0,0.15709534221371105,880322.7161427225
0.31,11.98,200,3.82,1.4418412915593393,-91.02670633491925,3.82,2.25,0.0,1.6517004280349579,998771.6281054417
0.31,11.98,200,32.82,18.63224560767575,-109.28477631067841,32.82,9.33,0.0,0.3757720585751968,976791.3147507536
0.31,11.98,200,29.64,12.022282947343387,-99.05833171570117,29.64,4.1,0.0,0.6563443397688847,992271.981558944
0.31,11.98,200,31.89,25.070930839730337,-109.940124893517,31.89,15.87,0.0,0.40247826675152765,979708.6921627928
5.1,5.31,200,18.67,17.45803341930921,-109.78129600311438,18.67,7.48,0.0,0.06629423441418605,567090.5307988417
5.1,5.31,200,0.3,30.1168595658711,-90.41434029174991,0.3,25.27,0.0,1.0647922295245333,997049.4998999595
5.1,5.31,200,18.25,35.42277438119977,-107.62836626305747,18.25,25.43,0.0,0.03801707281571807,301083.2627202306
5.1,5.31,200,15.49,11.327426526428042,-109.86398744023305,15.49,2.27,0.0,0.43766762340739895,982786.5222336777
5.1,5.31,200,6.41,24.466455867635155,-96.64931510190348,6.41,31.47,0.0,2.3466902219884154,999391.0511683454
28.25,3.68,200,7.3,15.18524440430302,-109.00444473615995,7.3,5.21,0.0,0.07037871331174254,596178.254836539
28.25,3.68,200,17.02,10.939806965251819,-95.21609169632748,17.02,4.53,0.0,0.8750210561303705,995637.1659501526
28.25,3.68,200,10.23,25.500555964743384,-105.13986751301177,10.23,17.42,0.0,0.6299523222769813,991616.432065963
28.25,3.68,200,18.03,26.410524295074104,-96.06403517125632,18.03,21.88,0.0,1.1006099675492595,997237.8872553634
28.25,3.68,200,29.44,10.73305415960452,-109.51587610565781,29.44,1.64,0.0,0.42918447492785855,982111.6191286637
18.52,8.14,200,37.56,29.521475159670167,-107.7140192471986,37.56,19.71,0.0,0.19448403366057426,918525.8128154203
18.52,8.14,200,26.4,19.743236274151403,-94.57283343688064,26.4,13.6,0.0,0.9092678407329595,995958.3121049167
18.52,8.14,200,22.97,24.485763526571574,-90.27624412257674,22.97,22.74,0.0,1.3953208295421815,998279.6307188408
18.52,8.14,200,3.11,24.722713373401817,-106.82388061111175,3.11,14.86,0.0,0.16589268137767885,891336.4973001633
18.52,8.14,200,23.62,29.6172924292055,-109.37184595945651,23.62,21.72,0.0,0.6604288186664412,992366.546706759
30.76,4.79,200,12.17,10.34574037144367,-90.93781132855806,12.17,0.45,0.0,0.14452771483661414,861609.9614506216
30.76,4.79,200,28.01,0.4739021157071104,-90.26715743227813,28.01,8.9,0.0,2.5729075147761593,999493.358566248
30.76,4.79,200,25.94,11.85516282291988,-108.22599241920416,25.94,1.86,0.0,0.031104877758314785,223829.75384780613
30.76,4.79,200,33.04,32.98939537190266,-91.07488555229311,33.04,22.99,0.0,0.010996673954959773,34789.5298154396
30.76,4.79,200,12.56,30.449058448641015,-105.70943288158867,12.56,22.87,0.0,0.7106993281748287,993401.3564666582
24.03,15.73,200,26.82,22.921133115873523,-93.24991691673446,26.82,13.75,0.0,0.4100188431777858,980433.7042133659
24.03,15.73,200,11.0,5.508818232278172,-91.90105722138046,11.0,15.35,0.0,2.9631323448350178,999617.94586426
24.03,15.73,200,22.98,5.339855114935252,-108.42157134138992,22.98,1.2,0.0,1.1439682820002437,997442.7651987982
24.03,15.73,200,38.29,39.323954968145756,-101.70300029038887,38.29,29.39,0.0,0.11499379050043648,797628.9313086761
24.03,15.73,200,33.45,38.465580601635125,-109.35873450027218,33.45,31.48,0.0,0.7974159570767972,994751.3469881526
21.7,20.43,200,23.12,31.756543879595284,-95.6031130377166,23.12,25.91,0.0,0.9463423414953953,996267.6229805218
21.7,20.43,200,0.49,16.381353335212214,-103.6966827235622,0.49,9.06,0.0,0.7493447823594016,994060.4740876195
21.7,20.43,200,35.78,40.37487518155089,-93.49875293398702,35.78,34.16,0.0,0.9001563108845643,995876.4175680897
21.7,20.43,200,30.85,6.528396081386921,-106.03031268681949,30.85,16.49,0.0,3.0539334526345425,999640.3139399799
21.7,20.43,200,10.31,5.455435423219111,-107.97502444551702,10.31,13.66,0.0,2.533005297853877,999477.2817937568
32.99,2.93,200,5.49,25.75883667471715,-97.304491278948,5.49,16.02,0.0,0.2290450089475907,939891.9025603813
32.99,2.93,200,5.01,30.658589989724856,-101.48463006370068,5.01,22.98,0.0,0.695303984637885,993107.9485355073
32.99,2.93,200,17.22,38.04029313954146,-108.80506729140221,17.22,31.2,0.0,0.8175241608801522,995005.0903347179
32.99,2.93,200,32.5,26.375741090930163,-93.45722732073257,32.5,33.82,0.0,2.410470930927182,999422.8274267035
32.99,2.93,200,4.29,3.434841464480872,-95.08422978840734,4.29,9.13,0.0,2.1767130617131802,999292.317301703
14.58,20.85,200,4.28,9.355961705067786,-106.82699426660096,4.28,16.31,0.0,2.339778026931012,999387.4506392572
14.58,20.85,200,28.67,16.300109873308763,-96.00533988057497,28.67,9.65,0.0,0.8432877970032009,995304.2149144323
14.58,20.85,200,27.0,11.127804615404159,-104.07517093250434,27.0,1.28,0.0,0.17469002054164667,900948.6612859897
14.58,20.85,200,0.37,43.05115249657004,-99.0946917962628,0.37,33.19,0.0,0.16683525343096112,892429.1579938269
14.58,20.85,200,39.31,41.425330186028546,-97.64051524839596,39.31,31.8,0.0,0.2746026581895669,957402.6912263124
38.91,14.28,200,26.33,36.341328362478535,-92.41463845406795,26.33,26.38,0.0,0.08797339163967818,697591.1304422398
38.91,14.28,200,17.15,30.01999675985184,-107.6953983329996,17.15,26.69,0.0,1.231313292271067,997791.9153412475
38.91,14.28,200,25.76,18.977163398502427,-108.66707168269352,25.76,9.01,0.0,0.0810611965822749,661994.0741092444
38.91,14.28,200,32.51,36.65339140481878,-109.38665530313418,32.51,34.71,0.0,1.3752126257388264,998229.0450621626
38.91,14.28,200,8.68,14.378173064050863,-90.96838710878038,8.68,17.5,0.0,1.8882860134088066,999059.862385779
9.13,39.22,200,30.73,25.337436921840734,-108.13726344039465,30.73,15.45,0.0,0.15018314715630776,870512.1955419392
9.13,39.22,200,27.46,13.411639208452959,-94.46915791126477,27.46,12.71,0.0,1.5005747088253678,998512.1501901152
9.13,39.22,200,1.28,17.8597611087486,-109.99032930861932,1.28,7.86,0.0,0.006912195057403286,14040.892402405269
9.13,39.22,200,7.73,24.251583322247306,-102.98310171723332,7.73,14.28,0.0,0.0754057642625813,628911.9452021875
9.13,39.22,200,35.0,15.550065544177633,-106.75046228026378,35.0,5.57,0.0,0.06315232756991183,543113.6409000414
3.19,15.34,200,8.48,15.130049125207119,-92.93465803626006,8.48,5.14,0.0,0.04461507718869393,372367.91433573805
3.19,15.34,200,28.65,33.743380434361995,-109.90555631389961,28.65,24.94,0.0,0.49422194660433494,986450.289873682
3.19,15.34,200,19.06,22.53511777984369,-106.26971045910686,19.06,22.81,0.0,1.5982880116822962,998688.2707935589
3.19,15.34,200,2.29,23.30800001477407,-90.69894627288502,2.29,20.07,0.0,1.2410532034883173,997826.3615180694
3.19,15.34,200,35.97,29.693168555985306,-102.65008582259443,35.97,20.33,0.0,0.358805761616116,974601.6270803553
6.81,37.3,200,33.98,25.48829827831589,-95.68289954810957,33.98,16.17,0.0,0.37137338899321287,976251.4119382155
6.81,37.3,200,18.77,6.841971535036486,-105.43995945416015,18.77,8.93,0.0,1.7811469900190557,998943.4926192428
6.81,37.3,200,30.37,13.896407770669335,-109.80487353840299,30.37,8.16,0.0,0.9598525409257744,996371.5711827045
6.81,37.3,200,31.44,15.908926190904765,-102.44121104684336,31.44,10.61,0.0,1.012322385225154,996736.750732907
6.81,37.3,200,9.36,8.96125203870204,-90.03843665051106,9.36,18.32,0.0,2.7815301292359678,999566.4635697781
12.69,27.81,200,7.35,43.127847638538036,-101.45618371516677,7.35,35.98,0.0,0.7744800371135954,994437.6300859122
12.69,27.81,200,4.22,43.57020124430295,-99.03254412641401,4.22,33.95,0.0,0.2764878022961314,957957.2440892132
12.69,27.81,200,33.0,19.23632303633069,-90.97713257506892,33.0,9.56,0.0,0.2551228357550667,950980.3984906453
12.69,27.81,200,13.29,35.971849964521134,-91.12032373252616,13.29,26.29,0.0,0.2529235009640748,950166.8466517412
12.69,27.81,200,4.71,37.31866539225819,-96.05175395503795,4.71,27.32,0.0,0.016337915590225946,73697.06187750585
39.6,7.18,200,12.71,17.856122821986,-94.80790874169857,12.71,8.02,0.0,0.18128802491462254,907371.7339860649
39.6,7.18,200,36.7,42.14237748650791,-103.01536506894155,36.7,32.41,0.0,0.23187272510743748,941263.4267994597
39.6,7.18,200,6.48,38.435337758682934,-91.93620774145401,6.48,30.34,0.0,0.6274387968015619,991549.6976381858
39.6,7.18,200,32.94,12.415799794282531,-100.99981463535549,32.94,19.32,0.0,2.332865831873609,999383.8180843652
39.6,7.18,200,4.96,11.963997084709298,-91.38395371539954,4.96,2.02,0.0,0.10588226065204123,769668.3976870317
26.93,36.3,200,25.75,32.29047397827907,-90.08857857717658,25.75,24.53,0.0,0.6824221665763608,992847.1774708813
26.93,36.3,200,10.4,38.38991720503941,-104.12499625159205,10.4,29.77,0.0,0.5316106380511981,988267.6094407439
26.93,36.3,200,24.35,26.217349731334778,-109.0488247034568,24.35,19.46,0.0,0.8288350255195395,995139.8278652744
26.93,36.3,200,4.45,17.365723119410884,-94.30275386582885,4.45,9.3,0.0,0.6324658477524007,991682.381258106
26.93,36.3,200,32.7,24.86846835484857,-107.76383832819414,32.7,25.93,0.0,1.677149873473579,998808.5778038608
35.83,32.17,200,34.73,21.472637190180926,-90.36875400084917,34.73,13.91,0.0,0.7132128536502481,993447.4799592402
35.83,32.17,200,3.76,18.57777049820399,-90.02710028518118,3.76,11.25,0.0,0.7484022103061194,994045.5929961045
35.83,32.17,200,35.89,22.088231799997445,-90.65542095307276,35.89,12.55,0.0,0.30507915457902685,965206.9455559892
35.83,32.17,200,3.78,16.607018398011437,-106.22999356962079,3.78,6.95,0.0,0.26266341218132483,953625.8693186664
35.83,32.17,200,30.16,14.174034244745748,-91.30553351778624,30.16,6.14,0.0,0.6378070893876668,991819.9716271758
2.93,20.75,200,37.43,31.01659992743736,-109.58185775779522,37.43,21.02,0.0,0.026077826807476032,168535.15889844554
2.93,20.75,200,7.59,25.532601064554534,-101.25501765211287,7.59,18.42,0.0,0.7795070880644341,994508.7485597967
2.93,20.75,200,24.37,15.208748017548299,-96.46815130033733,24.37,5.22,0.0,0.047442793348540735,401512.6834302085
2.93,20.75,200,8.02,19.58272117395778,-109.941094844362,8.02,14.02,0.0,0.9809033167824117,996525.097664523
2.93,20.75,200,19.36,32.29869745263761,-91.26965972186927,19.36,22.62,0.0,0.2541802637017845,950634.1485587455
21.61,8.88,200,23.33,2.29147559400615,-102.0175952403244,23.33,9.85,0.0,2.4277514185706903,999431.0088304745
21.61,8.88,200,26.02,12.605365961519126,-91.28603855614708,26.02,13.57,0.0,1.667409962256329,998794.635964936
21.61,8.88,200,14.21,26.32946825983138,-93.91084407470274,14.21,19.14,0.0,0.7685104141094744,994351.3712165639
